gauge_address,creator_address,internal_bribe_address,external_bribe_address,pool_address,contract_address,tx_hash,event_index,block_timestamp,block_number
0x883c6d437d45b7ce61c07606fb390e6c28be27b8,0x292c6dae7417b3d31d8b6e1d2eea0258d14c4c4b,0xdefc93fbc6b2cfee43f017d1007ad818538022dd,0x6f132d3ab4013b055e6fc347fa812c2075e34ff0,0x588443c932b45f47e936b969eb5aa6b5fd4f3369,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x72e5936ab21d0c1babb0e84ddf5185b5f01eabf02f49420c7f6b2f63a9dac0cb,1,2022-06-01 23:40,10105702
0x055ee7ddc298dca46172a7a9a43e28b76c17ad26,0xe247340f06fcb7eb904f16a48c548221375b5b96,0x826f194cc72d02696952367789000fae553c09f7,0x4a067cd6d7b32621fac26d16c27192800a0e0178,0x9355292f66552ea5717b274d27eefc8254011d83,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x004484512da4cffcacb8b428a1b49f76061d62b14c3c910c91d9f4cc3fd9d4dc,1,2022-06-01 22:12,10095841
0x3324539a66203eddbe8da4e45dfa8d8fd8985ebb,0xadc1d13acf57ea12cdf14679177fd669221adf2c,0xd5c4cd8fd71992477f5f24a6c62e980fa3968042,0x30af5fcd77a437374105dae206d86971c1b49d1b,0xe47d437252fe9cb5e74396eee63360d8647df25d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xe9c527e77e185bd2d7d47627d49275e7d3c87e4f7c585117d251956a81b48b93,1,2022-06-02 0:02,10109897
0x68398f950adf50687c872b2b668895561aebd798,0xa9811f9f6b8bca7f9f91f850a98310e63fbb7326,0x5bc526e46a0c9952d9e7b711d1f06e78c52f2bb1,0x6980b6b04c0ced08512a451b2e3c3341849fca1c,0x557949dde71e88cc2f41d33d341ff42417a35a2d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x5e5421e71230d32f2d9fbd8b2a80c59c49aee6517cdb85e30410a1443d75307e,1,2022-06-02 0:05,10111184
0x0aaf1de71910d9f2be10e6c75b3eb6eca377cbf2,0x14f4785e5f8738eb589eb0bf9edc6a5f86755944,0x01116006be019db23450287d9621757b3cc20bd5,0x6ac3a8117d53e0a9e3dbc3ec99b2da1152b6317a,0x06141423dcf1a5a4c137039063ac873cdc1e363a,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xb34d306cece0a76b21ff4865de3bb9c8c47942ae895d33264919f8353ef8960c,1,2022-06-02 0:08,10112204
0x3b9ce26a8527b1c2f92e8d60ed920c7dae77bbdd,0x5ec5e26d5304ef62310b5bc46a150d15e144e122,0xef867162b4ff60d931532e8ebf5e9f2a7a50e441,0x078ffb42dced237c84fc145c8f3330bc17448e4e,0x078f65c0e854ab7fa3baa2cff62a4f9cb4031382,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xd362986d7db0c979127e4ffeada4864213dd4d071425a14a5a0a2cb177d6d9cd,1,2022-06-02 0:14,10114639
0x99347c4c68de5f661194e9854ef8399cd57ca0e5,0x71d87aabb42de94a7214976a05134935f73e64aa,0x1b22e8e0a9e684273f86e0f10d40083cea1e645f,0x19ae99dc9dbbbc24cce4d2cb5ce20ac18b966de9,0xd3650ab80545c31088f89fb6d16930796758f3c1,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xbc720bd112428a1ba37bf130702a7fad6c901db45e63fb1c82195da5fb4ab3f0,1,2022-06-02 0:16,10115290
0x58d90052ee670cd78fd07cfaf58be054f6dff445,0x14f4785e5f8738eb589eb0bf9edc6a5f86755944,0x2eb5c3a74c64a7c587da283f7f016c2020d6dc2c,0xda9667436fbd2fe8b3928c8fe765ba923ae9c725,0xcfcf4bb472aa2ad6c82ebef2377a20829b6356ad,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x52323f98a781f0279db9698720eac22229033ac8a69e080d6dd0901f0cf58f11,1,2022-06-02 0:35,10122552
0x85706b4f83357e0084a2f34e2dbeb0bc9e9d72b8,0xd63154abc9c6655626f16f0aed41c2e958410724,0xc2a4d2a3a2d5be9c53a3ebd2e75cf83328774fd3,0x0383f166408748d5a7b7299289675639fc131036,0xe8633ce5d216ebfdddf6875067dfb8397dedcaf3,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x84b065ecef819cf1842096a74a113214556f1967b6933fc678a7f6b95bf3b34a,1,2022-06-02 1:05,10132210
0x2f733b00127449fcf8b5a195bc51abb73b7f7a75,0x8ddb29be64676777b112debe38129dd660e92b31,0x8cea63d0ab18850f2274fde069ec7181894c5b95,0x9960fc5209fc66949380ddfb8b034c92cdb417df,0xcdd41009e74bd1ae4f7b2eecf892e4bc718b9302,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x27f89c809e2af67895064a5c6f57268880f824577bb47d56fb1a0ec43ad80e31,1,2022-06-02 1:16,10135392
0x099b3368eb5bbe6f67f14a791ecaef8bc1628a7f,0x85591bfabb18be044fa98d72f7093469c588483c,0x28786388d30e322bffbaff851c6fac958963b43d,0x42ea76108c3cf6614153c7ac0239678753d88046,0x9056eb7ca982a5dd65a584189994e6a27318067d,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x3eee5cfbe3b714c63b799bee0d58da5ca8b178eaf3291f9f91ffc53520b5abcc,1,2022-06-02 1:17,10135729
0x8b57098ee6eafbe85fc3977cb974b5ab929e63f2,0x477c2087f3d6e49b1be5c790a33b3a025a4fa569,0xa911b106ca6cb07c70d8ec6d5cdd42e99f4e16e8,0x7928f8d5c549cc738d278172e82094939258dfd7,0x46b8a98d72820e28465a172687af920cc167e587,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xb0ee188a614afb0e68d8383ec8e1b5fad25e121dec2752cb4c1498fcea2d0ab4,1,2022-06-02 1:54,10145410
0xc7bb5b7c35f48ea077fb9c2f8825102110a6ec29,0xdeff8642e3f821ec39b8a53f7162de7f04e558d2,0x4fe75067213d0fcfe890f6937b9439ac763dff08,0x12c81cb71463471b8876581596be41e1f5a9ac8e,0x93fc04cd6d108588ecd844c7d60f46635037b5a3,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x155c95802943502cf1ae4ce27e9cc797a9d9e818659bca5093ada1d2b82e08ec,1,2022-06-02 2:34,10155435
0x69c9aa3aee75558ecb32c8a3b28b579004c4748b,0xb419601836e0eb26e238f9745da95afb5b8e43c3,0xdb07b662b7fdf79ff4032eb32b51ba9b61c24c65,0xc0bd63a7f0e08a8d21258134cd85efc96b9ee3e1,0x278631efe7e7b4c2ec49927b255c2ca42be2c1b1,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xdfcbbe575e0a563e4dcde148caea6467258983aa4a3de5137229635ae4d56646,1,2022-06-02 4:01,10173683
0x55c50ea1ff75558ae282e7d04a22d4bb39118c9f,0xfc6ae6d47e38d4c49877a3d6351a3f896f5dbfab,0x35d40cd7f1a05b894c6ecbfd465271b25615b8d1,0x42e39300a4b2cb69a372f0e1e1d980ab5c34bb92,0x34bb604e97604533ab9e42a756c3790910caac87,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x9a146ec4a5bfcb7c84214aad4b8670299237b2affe5b75117b39d9b540d0bd39,1,2022-06-02 6:15,10197929
0xda157fc11e98a1287aef7c551c761abe1cc37dfc,0x03000a0ecb1898040c26cd418570cd480775f0da,0x2ab212de48de9d8399208d2d29669a200d12e90d,0xe1a47685096ccc47389a4cb9aa885bdbdcf0ce65,0xb840adae1a31b52778188b9e948fc79a4bc99d44,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0xc2e55bd485e257e0a5f1da949d0c855a23efe54bb025587c2e3385b6062ac0d8,1,2022-06-02 6:25,10199703
0x14395732431b32b5835d0dec7f4cb85af2861a1c,0x3d2b23962ebcc882f9f65452658bbba9fa72d170,0x06791b192ca3d40c1f80b000585f5ae8f70d119a,0x47bdc24161e0a6b85df1e257604dee5e1a137039,0xbe61c199d356d205b3beba3634a7992af5e28631,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x807e14897f4d120a3c4a54b47d42585fd6d1595ea070c1187f33215c6fbd663f,1,2022-06-02 8:49,10222194
0x90c80b2a2f32b4f5646a79364fafd5099246eb88,0xc52e3e5b16ce55f23bbb0585a6f71f1599345a53,0x4197e817b4723a071b65bc3e2a5060310e8f966d,0xf14d7a84c1ceb816ee75d50cd238ee2e9b3fedd5,0xd04f675127d37bf7b009453116c17b7ef088cceb,0x09236cff45047dbee6b921e00704bed6d6b8cf7e,0x9118f406bc3a59427f52b1c7fb2f168f30d724f9aebb6d1d03ba862c66806e81,1,2022-06-02 13:07,10261189
